Operation Name, Index, Number of Records, Time (ms), Operation Description
CREATE_AND_LOAD_NEW, False, 20000, 1.474074, Create Person Table and load data
CREATE_AND_LOAD_NEW, False, 300000, 18.535145, Create history table and load data into it from phistory.tsv
CREATE_AND_LOAD_NEW, False, 300000, 13.069133, Create history table and load data into it from phistory.tsv
SELECT, False, 300000, 0.185448, SELECT query given in the PDF
INSERT_1000, False, 300000, 0.171729, INSERT 1000 records from phistory2.tsv into table history
DELETE_CITY, False, 300000, 0.256551, DELETE all records from history where city='Oslo'
DELETE_COUNTRY, False, 300000, 0.288524, DELETE all records from history where country='Norway'
DELETE_100K, False, 300000, 0.286616, DELETE 100,000 records from history
CREATE_AND_LOAD_NEW, False, 325000, 32.088312, Create history table and load data into it from phistory.tsv
SELECT, False, 325000, 0.17809, SELECT query given in the PDF
INSERT_1000, False, 325000, 0.209045, INSERT 1000 records from phistory2.tsv into table history
DELETE_CITY, False, 325000, 0.244364, DELETE all records from history where city='Oslo'
DELETE_COUNTRY, False, 325000, 0.335383, DELETE all records from history where country='Norway'
DELETE_100K, False, 325000, 0.243837, DELETE 100,000 records from history
CREATE_AND_LOAD_NEW, False, 350000, 10.536941, Create history table and load data into it from phistory.tsv
SELECT, False, 350000, 0.217503, SELECT query given in the PDF
INSERT_1000, False, 350000, 0.278031, INSERT 1000 records from phistory2.tsv into table history
DELETE_CITY, False, 350000, 0.358021, DELETE all records from history where city='Oslo'
DELETE_COUNTRY, False, 350000, 0.310129, DELETE all records from history where country='Norway'
DELETE_100K, False, 350000, 0.295624, DELETE 100,000 records from history
CREATE_AND_LOAD_NEW, False, 375000, 17.220118, Create history table and load data into it from phistory.tsv
SELECT, False, 375000, 0.185834, SELECT query given in the PDF
INSERT_1000, False, 375000, 0.240336, INSERT 1000 records from phistory2.tsv into table history
DELETE_CITY, False, 375000, 0.332515, DELETE all records from history where city='Oslo'
DELETE_COUNTRY, False, 375000, 0.25899, DELETE all records from history where country='Norway'
DELETE_100K, False, 375000, 0.336491, DELETE 100,000 records from history
CREATE_AND_LOAD_NEW, False, 400000, 19.805812, Create history table and load data into it from phistory.tsv
SELECT, False, 400000, 0.162352, SELECT query given in the PDF
INSERT_1000, False, 400000, 0.230671, INSERT 1000 records from phistory2.tsv into table history
DELETE_CITY, False, 400000, 0.326538, DELETE all records from history where city='Oslo'
DELETE_COUNTRY, False, 400000, 0.338525, DELETE all records from history where country='Norway'
DELETE_100K, False, 400000, 0.262362, DELETE 100,000 records from history
CREATE_AND_LOAD_NEW, False, 425000, 20.128821, Create history table and load data into it from phistory.tsv
SELECT, False, 425000, 0.197609, SELECT query given in the PDF
INSERT_1000, False, 425000, 0.20767, INSERT 1000 records from phistory2.tsv into table history
DELETE_CITY, False, 425000, 0.240435, DELETE all records from history where city='Oslo'
DELETE_COUNTRY, False, 425000, 0.307174, DELETE all records from history where country='Norway'
DELETE_100K, False, 425000, 0.303119, DELETE 100,000 records from history
CREATE_AND_LOAD_NEW, False, 450000, 10.638891, Create history table and load data into it from phistory.tsv
SELECT, False, 450000, 0.194987, SELECT query given in the PDF
INSERT_1000, False, 450000, 0.225864, INSERT 1000 records from phistory2.tsv into table history
DELETE_CITY, False, 450000, 0.238639, DELETE all records from history where city='Oslo'
DELETE_COUNTRY, False, 450000, 0.295634, DELETE all records from history where country='Norway'
DELETE_100K, False, 450000, 0.306309, DELETE 100,000 records from history
CREATE_AND_LOAD_NEW, False, 475000, 22.116255, Create history table and load data into it from phistory.tsv
SELECT, False, 475000, 0.210163, SELECT query given in the PDF
INSERT_1000, False, 475000, 0.294509, INSERT 1000 records from phistory2.tsv into table history
DELETE_CITY, False, 475000, 0.326608, DELETE all records from history where city='Oslo'
DELETE_COUNTRY, False, 475000, 0.307954, DELETE all records from history where country='Norway'
DELETE_100K, False, 475000, 0.264877, DELETE 100,000 records from history
CREATE_AND_LOAD_NEW, False, 500000, 20.639115, Create history table and load data into it from phistory.tsv
SELECT, False, 500000, 0.240842, SELECT query given in the PDF
INSERT_1000, False, 500000, 0.254602, INSERT 1000 records from phistory2.tsv into table history
DELETE_CITY, False, 500000, 0.337314, DELETE all records from history where city='Oslo'
DELETE_COUNTRY, False, 500000, 0.301676, DELETE all records from history where country='Norway'
DELETE_100K, False, 500000, 0.285852, DELETE 100,000 records from history
